GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
vvpl,dk.sdu.imada.teaching.compiler.fs25.vvpl.ast,Expr.Literal,0,10,0,0,0,4,0,2,0,2
vvpl,dk.sdu.imada.teaching.compiler.fs25.vvpl.ast,Expr.Binary,0,16,0,0,0,6,0,2,0,2
vvpl,dk.sdu.imada.teaching.compiler.fs25.vvpl.ast,Expr.Cast,0,13,0,0,0,5,0,2,0,2
vvpl,dk.sdu.imada.teaching.compiler.fs25.vvpl.ast,Expr,0,3,0,0,0,1,0,1,0,1
vvpl,dk.sdu.imada.teaching.compiler.fs25.vvpl.ast,Stmt.IfStmt,0,19,0,0,0,7,0,2,0,2
vvpl,dk.sdu.imada.teaching.compiler.fs25.vvpl.ast,Stmt,0,3,0,0,0,1,0,1,0,1
vvpl,dk.sdu.imada.teaching.compiler.fs25.vvpl.ast,Expr.Identifier,0,10,0,0,0,4,0,2,0,2
vvpl,dk.sdu.imada.teaching.compiler.fs25.vvpl.ast,Stmt.ReturnStmt,0,13,0,0,0,5,0,2,0,2
vvpl,dk.sdu.imada.teaching.compiler.fs25.vvpl.ast,Stmt.WhileStmt,0,16,0,0,0,6,0,2,0,2
vvpl,dk.sdu.imada.teaching.compiler.fs25.vvpl.ast,Expr.Call,0,19,0,0,0,7,0,2,0,2
vvpl,dk.sdu.imada.teaching.compiler.fs25.vvpl.ast,Expr.Unary,0,13,0,0,0,5,0,2,0,2
vvpl,dk.sdu.imada.teaching.compiler.fs25.vvpl.ast,Stmt.PrintStmt,0,13,0,0,0,5,0,2,0,2
vvpl,dk.sdu.imada.teaching.compiler.fs25.vvpl.ast,Expr.Logical,0,16,0,0,0,6,0,2,0,2
vvpl,dk.sdu.imada.teaching.compiler.fs25.vvpl.ast,Stmt.FunctionStmt,0,19,0,0,0,7,0,2,0,2
vvpl,dk.sdu.imada.teaching.compiler.fs25.vvpl.ast,Expr.Assign,0,13,0,0,0,5,0,2,0,2
vvpl,dk.sdu.imada.teaching.compiler.fs25.vvpl.ast,Param,0,9,0,0,0,4,0,1,0,1
vvpl,dk.sdu.imada.teaching.compiler.fs25.vvpl.ast,Stmt.BlockStmt,0,10,0,0,0,4,0,2,0,2
vvpl,dk.sdu.imada.teaching.compiler.fs25.vvpl.ast,Stmt.ExprStmt,0,10,0,0,0,4,0,2,0,2
vvpl,dk.sdu.imada.teaching.compiler.fs25.vvpl.ast,Stmt.VarDecl,0,16,0,0,0,6,0,2,0,2
vvpl,dk.sdu.imada.teaching.compiler.fs25.vvpl.semanticAnalysis.scopeAnalysis,ScopeAnalyzer,0,520,0,32,0,111,0,37,0,21
vvpl,dk.sdu.imada.teaching.compiler.fs25.vvpl.semanticAnalysis.scopeAnalysis,FuncSymbolTable,0,49,0,6,0,13,0,7,0,4
vvpl,dk.sdu.imada.teaching.compiler.fs25.vvpl.semanticAnalysis.scopeAnalysis,SymbolTable,50,84,8,6,12,20,6,8,2,5
vvpl,dk.sdu.imada.teaching.compiler.fs25.vvpl,ErrorTypeStrings,3,0,0,0,1,0,1,0,1,0
vvpl,dk.sdu.imada.teaching.compiler.fs25.vvpl,ErrorMessage,0,26,0,0,0,7,0,3,0,3
vvpl,dk.sdu.imada.teaching.compiler.fs25.vvpl,VVPLController,0,99,0,10,0,31,0,10,0,5
vvpl,dk.sdu.imada.teaching.compiler.fs25.vvpl.parse,Parser,0,952,2,82,0,189,2,76,0,35
vvpl,dk.sdu.imada.teaching.compiler.fs25.vvpl.interpretation,Environment,3,60,2,6,2,17,2,6,0,4
vvpl,dk.sdu.imada.teaching.compiler.fs25.vvpl.interpretation,VVPLFunction,0,49,0,2,0,10,0,3,0,2
vvpl,dk.sdu.imada.teaching.compiler.fs25.vvpl.interpretation,ReturnExcep,0,10,0,0,0,3,0,1,0,1
vvpl,dk.sdu.imada.teaching.compiler.fs25.vvpl.interpretation,Interpreter,41,542,17,61,10,116,16,53,0,25
vvpl,dk.sdu.imada.teaching.compiler.fs25.vvpl.ast.visitors,ASTPrinter,15,625,1,13,3,111,4,24,3,18
vvpl,dk.sdu.imada.teaching.compiler.fs25.vvpl.scan,Scanner,2,520,1,67,1,112,1,54,0,16
vvpl,dk.sdu.imada.teaching.compiler.fs25.vvpl.scan,TokenType,0,394,0,0,0,31,0,1,0,1
vvpl,dk.sdu.imada.teaching.compiler.fs25.vvpl.scan,Token,0,27,0,0,0,9,0,2,0,2
vvpl,dk.sdu.imada.teaching.compiler.fs25.vvpl.semanticAnalysis.typeAnalysis,TypeAnalyzer,36,749,17,103,13,164,17,70,0,23
vvpl,dk.sdu.imada.teaching.compiler.fs25.vvpl.semanticAnalysis.typeAnalysis,Type,0,44,0,0,0,5,0,1,0,1
vvpl,dk.sdu.imada.teaching.compiler.fs25.vvpl.semanticAnalysis.typeAnalysis,SymbolTable,24,51,5,3,8,13,4,5,1,4
vvpl,dk.sdu.imada.teaching.compiler.fs25.vvpl.semanticAnalysis.typeAnalysis,FuncSymbolTable,0,21,0,0,0,6,0,3,0,3
vvpl,dk.sdu.imada.teaching.compiler.fs25.vvpl.semanticAnalysis,SymbolTableException,0,4,0,0,0,2,0,1,0,1
